usuario_id,nombre_usuario,voto,horas_jugadas,review,indice_ia
76561198791237314,imperio romano occidente,No recomendado,0.1333333333333333,amigo si tu pc no tiene mas de 128 de ram no lo compres te va andar como la mierda,5
76561197968703369,PiterPanda,No recomendado,0.9833333333333332,"Me lo baje por qué vi muchos videos divertidos y dije, este juego debe dar muchas risas! Pero la realidad es que no. Es el típico juego que es mas divertido verlo que jugarlo. La mecánica de pintar esta literalmente rota, el Angulo de cámara para mi gusto esta demasiado cerca, el sonido ambiental es malillo. Literalmente jugué 1h y vi que faltaba pulirlo mucho. Si esperabas un prophunt olvidate, no es ni de lejos tan divertido.",5
76561199235865408,antrusquireal901,No recomendado,0.6833333333333333,"juego mal creado cuando me meto me saca con un anuncio que dice as sido reportado y no deja jugar no lo descarguen es solo un mal gasto de dinero
",5
76561198442321373,reynolds,No recomendado,0.2333333333333333,"juego mal optimizado, me anda mejor el poppy playtime que esto",5
76561198864745072,👑 QueenDiana 👑,No recomendado,0.5833333333333334,"Sé que el juego para varios es bueno, pero esta es la última vez que me planteo conseguir un juego por el mero hecho de que es popular

Prop Hunt es un modo de juego que siempre me ha gustado muchísimo gracias a Garry's mod, pero como en este no había mucha gente jugando y hay otros juegos que son enteramente de este estilo pero nadie los juega, entonces fue como una lástima, ya que no encontraba donde jugar. Después salió esto, donde YouTube me recomendaba los vídeos y me entero del nombre, entonces lo compro, lo juego, me asqueo un poco y me voy

Me pareció atractiva la mecánica de ser un monigote blanco y camuflarte pintándote la piel, pero la realidad es que el juego te agobia rápido. Te exige demasiada creatividad para decidir DÓNDE y CÓMO esconderte, así que al final, ver una silueta con brazos y piernas en una pared o un mueble es un Game Over asegurado porque resalta a la vista. Esos escondites perfectos donde nadie te encuentra parecen ideas que se te ocurren en un millón de años. Además, no puedes simplemente copiar los trucos de otros, porque aquí todo depende de tu habilidad con el pincel y el entorno. La clave está en lograr diseñar texturas complejas y ""romper"" tu silueta humana, algo que se vuelve muy difícil y estresante con la presión del cronómetro en contra

[i]Mirá el tráiler y vas a notar cuan notorio es ser un monigote pintado sobre una superficie. Te cazo al instante[/i]

Por último, el juego está muy mal optimizado gracias al Unreal Engine 5. He jugado fluidamente y con gráficos altos, títulos tales como Resident Evil 4 Remake, Devil May Cry 5, Dying Light 2, entre otros, pero sin embargo MECCHA CHAMELEON tiene caídas de FPS, se congela al cargar una partida y a veces me desconecta de los servidores. En principio pensé que era mi ordenador, hasta que leí más reseñas negativas y me enteré del motor gráfico que utiliza el juego

En fin... realmente prefiero volver a Garry's mod para jugar Prop Hunt. La compra fue mala y lo único que se podría corregir es el rendimiento, pero la muy alta habilidad que se te pide para jugar con otras personas, es estresante. Paso del juego, y de comprar títulos que se hacen de moda",5
76561199129152350,10 | Zioshy ARG,Recomendado,2.1666666666666665,Me gusta el juego y lo compre para saber que tan divertido es y si me llama la tencion con la ganas que tenia de jugar pero por el momento rechazo seguir jugando asta que el juego arregle los errores que algunas personas o la mayoria dicen mencionar algunas de ellas el cierra o crasheo o que pasa que a veces si no es la descarga de algun mod que puede ser imposible jugar BUGS Juegazo 8.6 ojala Un futuro el juego sea bueno y tenga Mas arreglos,4
76561199833061048,Toni pro,Recomendado,3.866666666666666,Un juego muy divertido que te hace sacar tus dotes artisticos para poder ganar. Lo de que se puedan descargar mapas tambien hace mas divertida la experiencia,4
76561198047291558,lufeli07,No recomendado,2.15,"no me deja cambiar a la posicion que yo quiero, selecciono una posicion y se pone la que quiere",4
76561198902738700,$LuK$,Recomendado,1.95,Me parece un buen juego pero con el único problema que veo es que tengas que buscar un servidor muy precariamente y no solo poner en búsqueda,4
76561199455323423,tuupiin,Recomendado,2.316666666666667,muy muy muy buen juego no se por que la gente lo critica es muy divertido si lo juegas con tus amigos pasaras un buen rato,4
76561198208211927,Matiasasoc,Recomendado,5.133333333333334,muy buen juego tiene mods gratis variedad de mapas y colores muy bueno,3
76561199112296536,daviiidarroba,Recomendado,5.183333333333334,Juegazo con  o sin amigos te lo vas a pasar bien,3
76561199811393394,pepito,Recomendado,6.383333333333334,"ete jugo trata de ke eres un monito y te pintaaas y te camuflaas y y todo esooo pe pero pero cuando llega teniente yy se laba las manitas con aguita y jabon pinpon y y deja ciego a un tipo y se keda cieguito y le da mucha risita y y y nadie le le saluda cuando llega a el server y se enoja con su comunidad por no imterabtuar con eyos
",3
76561198889300779,_k0jaku_,No recomendado,6.216666666666667,"Tiene que arreglar la búsqueda de servidores, no se puede buscar por nombre y las etiquetas son inútiles. El juego es divertido pero he estado más rato en total buscando el server que ha creado mi colega que jugando con el. Cambiaré la reseña a positiva cuando lo arreglen.",3
76561198118938392,TheJhon1sS,Recomendado,4.1,"la genialidad de la gente para esconderse es la hostia! jeje
",3
76561199610631755,,Recomendado,3.3,Controles muy bien optimizados muchas opciones facil de entender idea original muy recomendable por el precio,3
76561198405526415,llucfabregat,Recomendado,7.666666666666667,Divertido para jugar con amigos pero hay algunos fallos y bugs,3
76561199072496994,,Recomendado,8.9,este juego es muy bueno para jugar con amigos y todos los que lo juegan es muy buen juego aunque algunas personas se dicen malas palabras jajaja,3
